사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Dec.22,1호선,150,서울역,604,24,8028,7918,12137,44148,38148,100206,66885,212880,57091,153222,59851,82986,78423,73091,87639,85302,88454,84810,77844,74634,98797,82501,118826,86127,172813,97338,211286,101385,111667,69010,83684,51711,86082,46253,59774,30941,26461,15356,2776,3500,43,707,1,46,0,0
Dec.22,1호선,151,시청,127,1,2197,4277,3713,21598,7195,61522,9565,191043,11529,93176,15194,43226,22724,43034,24603,39679,29949,40146,37984,34552,49761,31743,58514,34403,89785,37748,164532,33842,68288,16723,59372,10126,59335,9012,39531,6960,13533,4727,1934,1126,102,110,2,7,0,0
Dec.22,1호선,152,종각,134,4,3869,4625,4670,21956,6369,95122,10271,243983,12959,145883,17880,64309,28787,64042,35983,55949,44614,53998,56274,47862,72399,43165,82050,49523,143509,60596,209305,66161,92139,32080,86706,15207,100519,11497,80128,9535,36262,4615,1575,1058,434,81,0,2,0,0
Dec.22,1호선,153,종로3가,116,8,3708,2898,3701,12979,5176,23591,8742,68025,13883,64870,18648,55181,29457,67422,42495,72963,49213,65514,60635,58958,70611,49294,77622,47088,89099,46205,98764,44583,59754,21801,49445,11420,52669,9270,42196,7182,19155,5931,4646,2064,299,188,4,14,0,0
Dec.22,1호선,154,종로5가,28,1,1617,3511,2609,13764,4987,39185,8518,98661,12247,64096,19601,55103,32596,61881,43503,60501,52824,56022,62374,52446,66538,46157,71606,42383,91329,37546,97321,33817,52071,18154,38201,9220,36409,7149,21565,5505,7731,3217,461,939,14,39,0,1,0,0
Dec.22,1호선,155,동대문,762,8,10546,1950,8505,5809,13440,10380,18824,19859,18641,21156,16546,21489,18381,25798,22990,26741,25110,24552,27548,23536,28399,22835,29057,21836,27937,20960,23840,20880,17073,19232,14042,13375,13368,11520,10411,11303,4793,8824,588,2402,23,254,1,4,0,0
Dec.22,1호선,156,신설동,348,13,8308,2096,8716,7826,20270,21977,30116,55144,19563,32225,17631,21808,20105,19364,21661,18770,23362,19349,23962,18973,25588,20057,31311,21850,39984,24533,50985,30270,20215,20539,14664,14372,12664,14223,9080,12773,3964,9203,393,2276,13,85,0,6,0,0
Dec.22,1호선,157,제기동,383,2,4520,1756,7665,7650,21505,18216,32488,37105,21781,29170,22877,33045,30385,42701,37192,48897,41078,50789,46013,47770,51468,38724,49192,32260,43286,26739,37040,27277,18618,18357,12939,12222,9208,11633,5751,11182,2328,7434,156,1550,16,50,0,1,0,0
Dec.22,1호선,158,청량리(서울시립대입구),847,10,10288,3323,14099,21108,35488,16385,46204,33674,28871,30277,27068,33381,32973,40707,38677,42951,41907,46388,45204,47439,50559,44884,58288,40959,51970,39589,39775,46500,21477,30721,17450,19281,13960,18871,8744,16738,3503,10534,214,4145,4,321,0,0,0,0
Dec.22,1호선,159,동묘앞,194,5,2748,1031,3605,4484,6064,8011,10633,19614,8934,16106,9662,17978,14509,24904,20576,29326,26930,32414,31647,30359,33723,25397,35073,17921,28363,12638,16538,10124,7857,7483,5220,5862,4406,5628,3394,6372,1358,3859,122,1683,2,453,0,36,0,0
