yearmonth,cold,hot
20000110,2.2,0
20000210,2.3,0
20000310,0,0
20000410,0,0
20000510,0,0.5
20000610,0,1.6
20000710,0,4.7
20000810,0,4.3
20000910,0,0.1
20001010,0,0
20001110,0,0
20001210,1,0
20010110,5.8,0
20010210,1.3,0
20010310,0.1,0
20010410,0,0
20010510,0,0.1
20010610,0,1.1
20010710,0,4.7
20010810,0,5.7
20010910,0,0
20011010,0,0
20011110,0,0
20011210,1.9,0
20020110,1.7,0
20020210,0.6,0
20020310,0,0
20020410,0,0
20020510,0,0
20020610,0,0.6
20020710,0,2.9
20020810,0,1.7
20020910,0,0.2
20021010,0,0
20021110,0,0
20021210,1.2,0
20030110,5,0
20030210,0.6,0
20030310,0.1,0
20030410,0,0
20030510,0,0
20030610,0,0
20030710,0,0
20030810,0,1.1
20030910,0,0.1
20031010,0,0
20031110,0,0
20031210,0.6,0
20040110,3.9,0
20040210,0.8,0
20040310,0.2,0
20040410,0,0
20040510,0,0.1
20040610,0,0.8
20040710,0,6.2
20040810,0,7.8
20040910,0,0
20041010,0,0
20041110,0,0
20041210,0.6,0
20050110,3.2,0
20050210,2.6,0
20050310,0.2,0
20050410,0,0.1
20050510,0,0
20050610,0,1.3
20050710,0,3.9
20050810,0,3.9
20050910,0,0.6
20051010,0,0
20051110,0,0
20051210,5.2,0
20060110,2.1,0
20060210,1.7,0
20060310,0,0
20060410,0,0
20060510,0,0
20060610,0,0.2
20060710,0,1.4
20060810,0,11.9
20060910,0,0
20061010,0,0
20061110,0,0
20061210,1,0
20070110,1,0
20070210,0.3,0
20070310,0.1,0
20070410,0,0
20070510,0,0
20070610,0,0.6
20070710,0,1.6
20070810,0,6.5
20070910,0,0.1
20071010,0,0
20071110,0,0
20071210,0.1,0
20080110,2.1,0
20080210,2.8,0
20080310,0,0
20080410,0,0
20080510,0,0.1
20080610,0,0.1
20080710,0,6.3
20080810,0,4.3
20080910,0,0.4
20081010,0,0
20081110,0,0
20081210,1.2,0
20090110,4.1,0
20090210,0.3,0
20090310,0,0
20090410,0,0
20090510,0,0.1
20090610,0,1.3
20090710,0,0.3
20090810,0,1.9
20090910,0,0.1
20091010,0,0
20091110,0,0
20091210,2,0
20100110,5.4,0
20100210,1.1,0
20100310,0,0
20100410,0,0
20100510,0,0
20100610,0,0.6
20100710,0,2.9
20100810,0,7.5
20100910,0,1.3
20101010,0,0
20101110,0,0
20101210,2.3,0
20110110,10,0
20110210,0.7,0
20110310,0.1,0
20110410,0,0
20110510,0,0
20110610,0,0.7
20110710,0,2.3
20110810,0,2.5
20110910,0,0.8
20111010,0,0
20111110,0,0
20111210,2,0
20120110,4,0
20120210,3.7,0
20120310,0,0
20120410,0,0
20120510,0,0
20120610,0,0.3
20120710,0,5.6
20120810,0,8.1
20120910,0,0
20121010,0,0
20121110,0,0
20121210,4.8,0
20130110,6.4,0
20130210,1.8,0
20130310,0,0
20130410,0,0
20130510,0,0.2
20130610,0,0.3
20130710,0,4
20130810,0,12.1
20130910,0,0
20131010,0,0
20131110,0,0
20131210,1,0
20140110,2,0
20140210,0.3,0
20140310,0.1,0
20140410,0,0
20140510,0,1.1
20140610,0,0.2
20140710,0,4.5
20140810,0,0.9
20140910,0,0
20141010,0,0
20141110,0,0
20141210,2.2,0
20150110,1.5,0
20150210,0.7,0
20150310,0,0
20150410,0,0
20150510,0,0.4
20150610,0,0.5
20150710,0,3.1
20150810,0,5.7
20150910,0,0
20151010,0,0
20151110,0,0
20151210,0.4,0
20160110,3.5,0
20160210,1.2,0
20160310,0.1,0
20160410,0,0
20160510,0,0
20160610,0,0.1
20160710,0,5.1
20160810,0,16.6
20160910,0,0
20161010,0,0
20161110,0,0
20161210,0.3,0
20170110,3.3,0
20170210,0.6,0
20170310,0,0
20170410,0,0
20170510,0,0.4
20170610,0,1.7
20170710,0,5.9
20170810,0,5.6
20170910,0,0
20171010,0,0
20171110,0,0
20171210,2.3,0
20180110,5.8,0
20180210,3.7,0
20180310,0.1,0
20180410,0,0
20180510,0,0
20180610,0,1.5
20180710,0,15.4
20180810,0,14.1
20180910,0,0
20181010,0,0
20181110,0,0
20181210,2.4,0
20190110,2.1,0
20190210,0.4,0
20190310,0,0
20190410,0,0
20190510,0,0.5
20190610,0,0.5
20190710,0,3
20190810,0,9
20190910,0,0
20191010,0,0
20191110,0,0
20191210,0.2,0
20200110,0.1,0
20200210,0.5,0
20200310,0,0
20200410,0,0
20200510,0,0
20200610,0,1.9
20200710,0,0.1
20200810,0,5.7
20200910,0,0
20201010,0,0
20201110,0,0
20201210,1.9,0
20210110,5.5,0
20210210,0.4,0
20210310,0,0
20210410,0,0
20210510,0,0
20210610,0,0.1
20210710,0,8.1
20210810,0,3.5
20210910,0,0
20211010,0,0
20211110,0,0
20211210,1.3,0
20220110,3,0
20220210,1.8,0
20220310,0,0
20220410,0,0
20220510,0,0.2
20220610,0,1.6
20220710,0,5.8
20220810,0,2.9
20220910,0,0.2
20221010,0,0
20221110,0,0
20221210,3.5,0
