yearmonth,cold,hot
20000101,2.2,0
20000102,2.3,0
20000103,0,0
20000104,0,0
20000105,0,0.5
20000106,0,1.6
20000107,0,4.7
20000108,0,4.3
20000109,0,0.1
20000110,0,0
20000111,0,0
20000112,1,0
20000113,5.8,0
20000114,1.3,0
20000115,0.1,0
20000116,0,0
20000117,0,0.1
20000118,0,1.1
20000119,0,4.7
20000120,0,5.7
20000121,0,0
20000122,0,0
20000123,0,0
20000124,1.9,0
20000125,1.7,0
20000126,0.6,0
20000127,0,0
20000128,0,0
20000129,0,0
20000130,0,0.6
20000131,0,2.9
20000132,0,1.7
20000133,0,0.2
20000134,0,0
20000135,0,0
20000136,1.2,0
20000137,5,0
20000138,0.6,0
20000139,0.1,0
20000140,0,0
20000141,0,0
20000142,0,0
20000143,0,0
20000144,0,1.1
20000145,0,0.1
20000146,0,0
20000147,0,0
20000148,0.6,0
20000149,3.9,0
20000150,0.8,0
20000151,0.2,0
20000152,0,0
20000153,0,0.1
20000154,0,0.8
20000155,0,6.2
20000156,0,7.8
20000157,0,0
20000158,0,0
20000159,0,0
20000160,0.6,0
20000161,3.2,0
20000162,2.6,0
20000163,0.2,0
20000164,0,0.1
20000165,0,0
20000166,0,1.3
20000167,0,3.9
20000168,0,3.9
20000169,0,0.6
20000170,0,0
20000171,0,0
20000172,5.2,0
20000173,2.1,0
20000174,1.7,0
20000175,0,0
20000176,0,0
20000177,0,0
20000178,0,0.2
20000179,0,1.4
20000180,0,11.9
20000181,0,0
20000182,0,0
20000183,0,0
20000184,1,0
20000185,1,0
20000186,0.3,0
20000187,0.1,0
20000188,0,0
20000189,0,0
20000190,0,0.6
20000191,0,1.6
20000192,0,6.5
20000193,0,0.1
20000194,0,0
20000195,0,0
20000196,0.1,0
20000197,2.1,0
20000198,2.8,0
20000199,0,0
20000200,0,0
20000201,0,0.1
20000202,0,0.1
20000203,0,6.3
20000204,0,4.3
20000205,0,0.4
20000206,0,0
20000207,0,0
20000208,1.2,0
20000209,4.1,0
20000210,0.3,0
20000211,0,0
20000212,0,0
20000213,0,0.1
20000214,0,1.3
20000215,0,0.3
20000216,0,1.9
20000217,0,0.1
20000218,0,0
20000219,0,0
20000220,2,0
20000221,5.4,0
20000222,1.1,0
20000223,0,0
20000224,0,0
20000225,0,0
20000226,0,0.6
20000227,0,2.9
20000228,0,7.5
20000229,0,1.3
20000230,0,0
20000231,0,0
20000232,2.3,0
20000233,10,0
20000234,0.7,0
20000235,0.1,0
20000236,0,0
20000237,0,0
20000238,0,0.7
20000239,0,2.3
20000240,0,2.5
20000241,0,0.8
20000242,0,0
20000243,0,0
20000244,2,0
20000245,4,0
20000246,3.7,0
20000247,0,0
20000248,0,0
20000249,0,0
20000250,0,0.3
20000251,0,5.6
20000252,0,8.1
20000253,0,0
20000254,0,0
20000255,0,0
20000256,4.8,0
20000257,6.4,0
20000258,1.8,0
20000259,0,0
20000260,0,0
20000261,0,0.2
20000262,0,0.3
20000263,0,4
20000264,0,12.1
20000265,0,0
20000266,0,0
20000267,0,0
20000268,1,0
20000269,2,0
20000270,0.3,0
20000271,0.1,0
20000272,0,0
20000273,0,1.1
20000274,0,0.2
20000275,0,4.5
20000276,0,0.9
20000277,0,0
20000278,0,0
20000279,0,0
20000280,2.2,0
20000281,1.5,0
20000282,0.7,0
20000283,0,0
20000284,0,0
20000285,0,0.4
20000286,0,0.5
20000287,0,3.1
20000288,0,5.7
20000289,0,0
20000290,0,0
20000291,0,0
20000292,0.4,0
20000293,3.5,0
20000294,1.2,0
20000295,0.1,0
20000296,0,0
20000297,0,0
20000298,0,0.1
20000299,0,5.1
20000300,0,16.6
20000301,0,0
20000302,0,0
20000303,0,0
20000304,0.3,0
20000305,3.3,0
20000306,0.6,0
20000307,0,0
20000308,0,0
20000309,0,0.4
20000310,0,1.7
20000311,0,5.9
20000312,0,5.6
20000313,0,0
20000314,0,0
20000315,0,0
20000316,2.3,0
20000317,5.8,0
20000318,3.7,0
20000319,0.1,0
20000320,0,0
20000321,0,0
20000322,0,1.5
20000323,0,15.4
20000324,0,14.1
20000325,0,0
20000326,0,0
20000327,0,0
20000328,2.4,0
20000329,2.1,0
20000330,0.4,0
20000331,0,0
20000332,0,0
20000333,0,0.5
20000334,0,0.5
20000335,0,3
20000336,0,9
20000337,0,0
20000338,0,0
20000339,0,0
20000340,0.2,0
20000341,0.1,0
20000342,0.5,0
20000343,0,0
20000344,0,0
20000345,0,0
20000346,0,1.9
20000347,0,0.1
20000348,0,5.7
20000349,0,0
20000350,0,0
20000351,0,0
20000352,1.9,0
20000353,5.5,0
20000354,0.4,0
20000355,0,0
20000356,0,0
20000357,0,0
20000358,0,0.1
20000359,0,8.1
20000360,0,3.5
20000361,0,0
20000362,0,0
20000363,0,0
20000364,1.3,0
20000365,3,0
20000366,1.8,0
20000367,0,0
20000368,0,0
20000369,0,0.2
20000370,0,1.6
20000371,0,5.8
20000372,0,2.9
20000373,0,0.2
20000374,0,0
20000375,0,0
20000376,3.5,0
