,0
0,네트워크 
1,시스템SW
2,모바일 애플리케이션
3,클라우드 컴퓨팅
4,
5,인공지능 서비스
6,
7,웹 프로그래밍
8,모바일 애플리케이션
9,
10,임베디드SW 
11,
12,디지털콘텐츠
13,데이터 시각화
14,UI/UX
15,웹 프로그래밍
16,플랫폼 서비스
17,
18,SW아키텍처
19,
20,ICT 융합
21,IT테스트/마케팅
22,통신서비스
23,전파ㆍ위성
24,
25,IT테스트/마케팅
26,
27,지능형 로봇
28,자율주행차
29,ICT 융합
30,
31,모바일 애플리케이션
32,
33,모바일 애플리케이션
34,웹 프로그래밍
35,데이터베이스
36,인공지능 서비스
37,음성인식
38,AR/VR
39,
40,웹 프로그래밍
41,SW아키텍처
42,데이터베이스
43,서버 프로그래밍
44,모바일 애플리케이션
45,UI/UX
46,클라우드 컴퓨팅
47,데이터 분석
48,데이터 시각화
49,소셜미디어
50,헬스케어
51,블록체인
52,
53,웹 프로그래밍
54,
55,웹 프로그래밍
56,데이터베이스
57,모바일 애플리케이션
58,빅데이터
59,데이터 분석
60,IT테스트/마케팅
61,
62,웹 프로그래밍
63,플랫폼 서비스
64,ICT 융합
65,
66,웹 프로그래밍
67,데이터 분석
68,플랫폼 서비스
69,모바일 애플리케이션
70,데이터베이스
71,
72,웹 프로그래밍
73,서버 프로그래밍
74,데이터베이스
75,
76,ICT 융합
77,IoT
78,스마트팩토리
79,스마트홈
80,
81,웹 프로그래밍
82,
83,웹 프로그래밍
84,데이터베이스
85,서버 프로그래밍
86,인공지능 서비스
87,자연어처리
88,
89,네트워크 
90,시스템SW
91,모바일 애플리케이션
92,클라우드 컴퓨팅
93,
94,인공지능 서비스
95,
96,웹 프로그래밍
97,모바일 애플리케이션
98,
99,임베디드SW 
100,
101,디지털콘텐츠
102,데이터 시각화
103,UI/UX
104,웹 프로그래밍
105,플랫폼 서비스
106,
107,SW아키텍처
108,
109,ICT 융합
110,IT테스트/마케팅
111,통신서비스
112,전파ㆍ위성
113,
114,IT테스트/마케팅
115,
116,지능형 로봇
117,자율주행차
118,ICT 융합
119,
120,모바일 애플리케이션
121,
122,모바일 애플리케이션
123,웹 프로그래밍
124,데이터베이스
125,인공지능 서비스
126,음성인식
127,AR/VR
128,
129,웹 프로그래밍
130,SW아키텍처
131,데이터베이스
132,서버 프로그래밍
133,모바일 애플리케이션
134,UI/UX
135,클라우드 컴퓨팅
136,데이터 분석
137,데이터 시각화
138,소셜미디어
139,헬스케어
140,블록체인
141,
142,웹 프로그래밍
143,
144,웹 프로그래밍
145,데이터베이스
146,모바일 애플리케이션
147,빅데이터
148,데이터 분석
149,IT테스트/마케팅
150,
151,웹 프로그래밍
152,플랫폼 서비스
153,ICT 융합
154,
155,웹 프로그래밍
156,데이터 분석
157,플랫폼 서비스
158,모바일 애플리케이션
159,데이터베이스
160,
161,웹 프로그래밍
162,서버 프로그래밍
163,데이터베이스
164,
165,ICT 융합
166,IoT
