,0
0,JavaScript
1,Python
2,Java
3,JavaScript
4,C#
5,C++
6,Java
7,Python
8,C#
9,Python
10,C++
11,CSS
12,HTML
13,JavaScript
14,C++
15,MySQL
16,Python
17,Kotlin
18,Python
19,React
20,Swift
21,R
22,Amazon AWS
23,JavaScript
24,linux
25,MSSql
26,MySQL
27,Python
28,REST API
29,Amazon AWS
30,Amazon EC2
31,Amazon RDS
32,Android
33,Back-end
34,Docker
35,figma
36,Front-end
37,GitLab
38,Gradle
39,ios
40,Java
41,JIRA
42,Kotlin
43,MariaDB
44,Next.js
45,Postman
46,React
47,REST API
48,restful
49,Spring Boot
50,Swift
51,Vue.js
52,Back-end
53,C++
54,Front-end
55,linux
56,MariaDB
57,MySQL
58,PHP
59,Python
60,SaaS
61,Spring
62,Tensorflow
63,AWS Lambda
64,Flutter
65,JavaScript
66,Node.js
67,React
68,TypeScript
69,HTML
70,Java
71,JavaScript
72,Kotlin
73,MySQL
74,Django
75,MongoDB
76,Python
77,REST API
78,Tensorflow
79,apache
80,Azure
81,C++
82,Git
83,JIRA
84,PostgreSQL
85,Python
86,Ubuntu
87,Visual Studio Code
88,GitHub
89,MariaDB
90,Python
91,Django
92,Docker
93,GitHub
94,jQuery
95,MySQL
96,Python
97,Android
98,ios
99,Java
100,Swift
101,Amazon CloudFront
102,Amazon EC2
103,Amazon RDS
104,Amazon Route 53
105,Amazon SQS
106,Angular
107,AWS Lambda
108,Back-end
109,C++
110,Front-end
111,Git
112,GitHub
113,JavaScript
114,MySQL
115,OpenSSL
116,Python
117,TypeScript
118,C#
119,JavaScript
120,Python
121,Back-end
122,Front-end
123,Back-end
124,Django
125,MariaDB
126,PostgreSQL
127,Python
128,Front-end
129,ios
130,JIRA
131,C++
132,linux
133,PHP
134,Python
135,windows
136,C#
137,C++
138,Oracle
139,Visual Studio
140,C++
141,Python
142,ASP.NET
143,Backbone.js
144,Back-end
145,C++
146,GitHub
147,Java
148,Node.js
149,C++
150,Python
151,HDL
152,NPU
153,Amazon AWS
154,Node.js
155,React
156,Swift
157,windows
158,figma
159,Flutter
160,Front-end
161,MySQL
162,Node.js
163,C++
164,JavaScript
165,Android
166,Android Studio
167,C#
168,C++
169,figma
170,Git
171,GitHub
172,Java
173,JavaScript
174,JIRA
175,Python
176,Bootstrap
177,CSS
178,Flutter
179,GitHub
180,HTML5
181,JavaScript
182,REST API
183,Amazon AWS
184,Amazon S3
185,CSS
186,HTML
187,JavaScript
188,React
189,TypeScript
190,Webpack
